Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Avrist Equity Cross Sectoral;Januari 2017;-0,026063;-0,004914;0
Reksa Dana Avrist Equity Cross Sectoral;Februari 2017;0,022861;0,013068;1
Reksa Dana Avrist Equity Cross Sectoral;Maret 2017;0,022584;0,029258;1
Reksa Dana Avrist Equity Cross Sectoral;April 2017;0,010138;0,016626;1
Reksa Dana Avrist Equity Cross Sectoral;Mei 2017;0,009085;0,004875;1
Reksa Dana Avrist Equity Cross Sectoral;Juni 2017;0,010038;0,011536;1
Reksa Dana Avrist Equity Cross Sectoral;Juli 2017;0,001813;-0,002494;0
Reksa Dana Avrist Equity Cross Sectoral;Agustus 2017;-0,020290;-0,000463;0
Reksa Dana Avrist Equity Cross Sectoral;September 2017;-0,012840;0,001853;1
Reksa Dana Avrist Equity Cross Sectoral;Oktober 2017;0,001531;0,013361;1
Reksa Dana Avrist Equity Cross Sectoral;November 2017;-0,000813;-0,013352;0
Reksa Dana Avrist Equity Cross Sectoral;Desember 2017;0,068670;0,063372;1
Reksa Dana Avrist Equity Cross Sectoral;Januari 2018;0,011439;0,034911;1
Reksa Dana Avrist Equity Cross Sectoral;Februari 2018;-0,013624;-0,005694;0
Reksa Dana Avrist Equity Cross Sectoral;Maret 2018;-0,083817;-0,066300;0
Reksa Dana Avrist Equity Cross Sectoral;April 2018;-0,046223;-0,035830;0
Reksa Dana Avrist Equity Cross Sectoral;Mei 2018;-0,002297;-0,006257;0
Reksa Dana Avrist Equity Cross Sectoral;Juni 2018;-0,048456;-0,035230;0
Reksa Dana Avrist Equity Cross Sectoral;Juli 2018;0,024213;0,019237;1
Reksa Dana Avrist Equity Cross Sectoral;Agustus 2018;0,004670;0,009396;1
Reksa Dana Avrist Equity Cross Sectoral;September 2018;-0,010999;-0,011384;0
Reksa Dana Avrist Equity Cross Sectoral;Oktober 2018;-0,024343;-0,028666;0
Reksa Dana Avrist Equity Cross Sectoral;November 2018;0,030258;0,034071;1
Reksa Dana Avrist Equity Cross Sectoral;Desember 2018;-0,000450;0,018429;1
Reksa Dana Avrist Equity Cross Sectoral;Januari 2019;0,162656;0,050220;1
Reksa Dana Avrist Equity Cross Sectoral;Februari 2019;-0,035046;-0,018139;0
Reksa Dana Avrist Equity Cross Sectoral;Maret 2019;0,056001;-0,000477;0
Reksa Dana Avrist Equity Cross Sectoral;April 2019;-0,015256;-0,006494;0
Reksa Dana Avrist Equity Cross Sectoral;Mei 2019;-0,034925;-0,042564;0
Reksa Dana Avrist Equity Cross Sectoral;Juni 2019;0,014567;0,019658;1
Reksa Dana Avrist Equity Cross Sectoral;Juli 2019;-0,019455;0,000593;1
Reksa Dana Avrist Equity Cross Sectoral;Agustus 2019;-0,026021;-0,014129;0
Reksa Dana Avrist Equity Cross Sectoral;September 2019;-0,042352;-0,029604;0
Reksa Dana Avrist Equity Cross Sectoral;Oktober 2019;-0,006577;0,005179;1
Reksa Dana Avrist Equity Cross Sectoral;November 2019;-0,041948;-0,039180;0
Reksa Dana Avrist Equity Cross Sectoral;Desember 2019;0,043272;0,043436;1
Reksa Dana Avrist Equity Cross Sectoral;Januari 2020;-0,051007;-0,061487;0
Reksa Dana Avrist Equity Cross Sectoral;Februari 2020;-0,088628;-0,086466;0
Reksa Dana Bahana Dana Ekuitas Prima;Januari 2016;0,004426;0,000402;1
Reksa Dana Bahana Dana Ekuitas Prima;Februari 2016;0,016165;0,029337;1
Reksa Dana Bahana Dana Ekuitas Prima;Maret 2016;0,023292;0,011176;1
Reksa Dana Bahana Dana Ekuitas Prima;April 2016;-0,012458;-0,005822;0
Reksa Dana Bahana Dana Ekuitas Prima;Mei 2016;-0,009926;-0,013041;0
Reksa Dana Bahana Dana Ekuitas Prima;Juni 2016;0,051366;0,041397;1
Reksa Dana Bahana Dana Ekuitas Prima;Juli 2016;0,049860;0,035315;1
