waktu,username,text;
2022-02-13 12:51:06+00:00,Silfiana Lieberto,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 12:45:41+00:00,Si Paling Grab,b'Bisa Kak namun aku tetap menyarankan dlm kota krn khawatir terjadi kendala pd prosesnya titik penje';
2022-02-13 12:43:50+00:00,become ungovernable,b'Ada je murah2 Sekarang ni shopeefood ok lagi banyak voucher free delivery etc Tunggu la setahun dua nan';
2022-02-13 12:42:58+00:00,Bintang,b'RT Kalau ke lg jalan2 ke jl Moses Gatotkaca cobain yakitori enak dan murah namanya Sabi sebrang fast coffee dulu laju Kulit';
2022-02-13 12:41:56+00:00,Jabrik,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 12:40:39+00:00,🏃🏻‍♀️,b'grabfood ongkirnya knp mahal bgtt';
2022-02-13 12:40:33+00:00,lesungkiri,b'Padahal udah niat ga makan malem tp kenapa pesen grabfood';
2022-02-13 12:37:43+00:00,Bonaventura,b'RT Kalau ke lg jalan2 ke jl Moses Gatotkaca cobain yakitori enak dan murah namanya Sabi sebrang fast coffee dulu laju Kulit';
2022-02-13 12:35:20+00:00,🧘🏻‍♀️,b'Min bisa ga sih pesen grabfood di surabaya dikirimnya ke alamat di surabaya juga Tapi kita nya di jakarta';
2022-02-13 12:33:35+00:00,Jordean J,b'Sa rasa dia mau sa grabfood haha';
2022-02-13 12:32:56+00:00,天道 🏴,b'Shortage of staffs And gaji kecik End of the day orang pilih gig job seperti bawak Grab amp buat delivery GrabFo';
2022-02-13 12:32:51+00:00,daisy hustle,b'RT cfcindonesia Renyah dan gurihnya Ayam CFC memang bisa bikin mood jadi hepi Langsung santap 3 Ayam CFC biar super puas guys Kunju';
"2022-02-13 12:32:02+00:00,""Info Detoks Usus, Baca Pinned Tweet"",b'Hujan deres gini resto di Grabfood pada tutup Beberapa kali nyoba yang buka juga ga dapet driver Saaad'";
2022-02-13 12:31:18+00:00,Indah apriilia_,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 12:22:51+00:00,Ismul Azham,b'Jadi sering order gofood sama grabfood';
2022-02-13 12:22:11+00:00, Mas Djay™ | Fully Vaccinated,b'RT Baru nyoba beberapa hari lalu Durum haus Berlin tapi baru ada di Tebet amp Jatibening kayaknya grabfood http';
