Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Batavia Dana Saham;Mei 2021;-0,011343;-0,011195;0,000125
Reksa Dana Batavia Dana Saham;Juni 2021;-0,039323;0,003231;0,000010
Reksa Dana Batavia Dana Saham;Juli 2021;-0,006050;0,010963;0,000120
Reksa Dana Batavia Dana Saham;Agustus 2021;0,019349;0,010059;0,000101
Reksa Dana Batavia Dana Saham;September 2021;0,008900;0,019054;0,000363
Reksa Dana Batavia Dana Saham;Oktober 2021;0,037168;0,045257;0,002048
Reksa Dana Batavia Dana Saham;November 2021;-0,020199;-0,011874;0,000141
Reksa Dana Batavia Dana Saham;Desember 2021;0,009177;0,004115;0,000017
Reksa Dana Batavia Dana Saham Optimal;Maret 2020;-0,224299;-0,170744;0,029154
Reksa Dana Batavia Dana Saham Optimal;April 2020;0,050343;0,035937;0,001291
Reksa Dana Batavia Dana Saham Optimal;Mei 2020;0,008164;0,004727;0,000022
Reksa Dana Batavia Dana Saham Optimal;Juni 2020;0,048295;0,028767;0,000828
Reksa Dana Batavia Dana Saham Optimal;Juli 2020;0,050653;0,046627;0,002174
Reksa Dana Batavia Dana Saham Optimal;Agustus 2020;0,013791;0,176314;0,031087
Reksa Dana Batavia Dana Saham Optimal;September 2020;-0,086659;-0,201361;0,040546
Reksa Dana Batavia Dana Saham Optimal;Oktober 2020;0,054183;0,049853;0,002485
Reksa Dana Batavia Dana Saham Optimal;November 2020;0,109156;0,091254;0,008327
Reksa Dana Batavia Dana Saham Optimal;Desember 2020;0,067733;0,062165;0,003865
Reksa Dana Batavia Dana Saham Optimal;Januari 2021;-0,019489;-0,022684;0,000515
Reksa Dana Batavia Dana Saham Optimal;Februari 2021;0,037708;0,061564;0,003790
Reksa Dana Batavia Dana Saham Optimal;Maret 2021;-0,023866;-0,044222;0,001956
Reksa Dana Batavia Dana Saham Optimal;April 2021;0,011060;-0,001475;0,000002
Reksa Dana Batavia Dana Saham Optimal;Mei 2021;-0,016947;-0,011195;0,000125
Reksa Dana Batavia Dana Saham Optimal;Juni 2021;-0,034282;0,003231;0,000010
Reksa Dana Batavia Dana Saham Optimal;Juli 2021;0,004394;0,010963;0,000120
Reksa Dana Batavia Dana Saham Optimal;Agustus 2021;0,021206;0,010059;0,000101
Reksa Dana Batavia Dana Saham Optimal;September 2021;0,011980;0,019054;0,000363
Reksa Dana Batavia Dana Saham Optimal;Oktober 2021;0,040594;0,045257;0,002048
Reksa Dana Batavia Dana Saham Optimal;November 2021;-0,032008;-0,011874;0,000141
Reksa Dana Batavia Dana Saham Optimal;Desember 2021;0,008837;0,004115;0,000017
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Maret 2020;-0,230052;-0,170744;0,029154
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;April 2020;0,026969;0,035937;0,001291
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Mei 2020;0,036958;0,004727;0,000022
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Juni 2020;0,058219;0,028767;0,000828
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Juli 2020;0,050782;0,046627;0,002174
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Agustus 2020;0,014722;0,176314;0,031087
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;September 2020;-0,101744;-0,201361;0,040546
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Oktober 2020;0,059313;0,049853;0,002485
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;November 2020;0,103587;0,091254;0,008327
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Desember 2020;0,044264;0,062165;0,003865
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Januari 2021;-0,040072;-0,022684;0,000515
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Februari 2021;0,014748;0,061564;0,003790
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Maret 2021;-0,035882;-0,044222;0,001956
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;April 2021;0,005482;-0,001475;0,000002
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Mei 2021;-0,009398;-0,011195;0,000125
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Juni 2021;-0,050439;0,003231;0,000010
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Juli 2021;-0,031449;0,010963;0,000120
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Agustus 2021;0,038173;0,010059;0,000101
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;September 2021;0,033873;0,019054;0,000363
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Oktober 2021;0,064447;0,045257;0,002048
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;November 2021;-0,029602;-0,011874;0,000141
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Desember 2021;-0,013725;0,004115;0,000017
Reksa Dana BNP Paribas Ekuitas;Maret 2020;-0,215018;-0,170744;0,029154
Reksa Dana BNP Paribas Ekuitas;April 2020;0,034524;0,035937;0,001291
Reksa Dana BNP Paribas Ekuitas;Mei 2020;0,011606;0,004727;0,000022
Reksa Dana BNP Paribas Ekuitas;Juni 2020;0,045930;0,028767;0,000828
Reksa Dana BNP Paribas Ekuitas;Juli 2020;0,046136;0,046627;0,002174
Reksa Dana BNP Paribas Ekuitas;Agustus 2020;0,026808;0,176314;0,031087
Reksa Dana BNP Paribas Ekuitas;September 2020;-0,093951;-0,201361;0,040546
Reksa Dana BNP Paribas Ekuitas;Oktober 2020;0,063260;0,049853;0,002485
Reksa Dana BNP Paribas Ekuitas;November 2020;0,118689;0,091254;0,008327
Reksa Dana BNP Paribas Ekuitas;Desember 2020;0,051413;0,062165;0,003865
Reksa Dana BNP Paribas Ekuitas;Januari 2021;-0,034322;-0,022684;0,000515
Reksa Dana BNP Paribas Ekuitas;Februari 2021;0,026616;0,061564;0,003790
Reksa Dana BNP Paribas Ekuitas;Maret 2021;-0,049106;-0,044222;0,001956
Reksa Dana BNP Paribas Ekuitas;April 2021;-0,001902;-0,001475;0,000002
Reksa Dana BNP Paribas Ekuitas;Mei 2021;-0,005044;-0,011195;0,000125
Reksa Dana BNP Paribas Ekuitas;Juni 2021;-0,041302;0,003231;0,000010
Reksa Dana BNP Paribas Ekuitas;Juli 2021;-0,005650;0,010963;0,000120
Reksa Dana BNP Paribas Ekuitas;Agustus 2021;0,029177;0,010059;0,000101
Reksa Dana BNP Paribas Ekuitas;September 2021;0,021461;0,019054;0,000363
Reksa Dana BNP Paribas Ekuitas;Oktober 2021;0,040085;0,045257;0,002048
Reksa Dana BNP Paribas Ekuitas;November 2021;-0,026475;-0,011874;0,000141
Reksa Dana BNP Paribas Ekuitas;Desember 2021;-0,007064;0,004115;0,000017
Reksa Dana BNP Paribas Infrastruktur Plus;Maret 2020;-0,227121;-0,170744;0,029154
Reksa Dana BNP Paribas Infrastruktur Plus;April 2020;0,021797;0,035937;0,001291
Reksa Dana BNP Paribas Infrastruktur Plus;Mei 2020;0,031993;0,004727;0,000022
Reksa Dana BNP Paribas Infrastruktur Plus;Juni 2020;0,058918;0,028767;0,000828
Reksa Dana BNP Paribas Infrastruktur Plus;Juli 2020;0,043198;0,046627;0,002174
Reksa Dana BNP Paribas Infrastruktur Plus;Agustus 2020;0,025246;0,176314;0,031087
Reksa Dana BNP Paribas Infrastruktur Plus;September 2020;-0,106301;-0,201361;0,040546
Reksa Dana BNP Paribas Infrastruktur Plus;Oktober 2020;0,072826;0,049853;0,002485
Reksa Dana BNP Paribas Infrastruktur Plus;November 2020;0,114323;0,091254;0,008327
Reksa Dana BNP Paribas Infrastruktur Plus;Desember 2020;0,048392;0,062165;0,003865
Reksa Dana BNP Paribas Infrastruktur Plus;Januari 2021;-0,033238;-0,022684;0,000515
Reksa Dana BNP Paribas Infrastruktur Plus;Februari 2021;0,026527;0,061564;0,003790
Reksa Dana BNP Paribas Infrastruktur Plus;Maret 2021;-0,046959;-0,044222;0,001956
Reksa Dana BNP Paribas Infrastruktur Plus;April 2021;-0,009046;-0,001475;0,000002
Reksa Dana BNP Paribas Infrastruktur Plus;Mei 2021;-0,009758;-0,011195;0,000125
Reksa Dana BNP Paribas Infrastruktur Plus;Juni 2021;-0,050223;0,003231;0,000010
Reksa Dana BNP Paribas Infrastruktur Plus;Juli 2021;0,003337;0,010963;0,000120
Reksa Dana BNP Paribas Infrastruktur Plus;Agustus 2021;0,026354;0,010059;0,000101
Reksa Dana BNP Paribas Infrastruktur Plus;September 2021;0,017307;0,019054;0,000363
Reksa Dana BNP Paribas Infrastruktur Plus;Oktober 2021;0,032267;0,045257;0,002048
Reksa Dana BNP Paribas Infrastruktur Plus;November 2021;-0,019561;-0,011874;0,000141
Reksa Dana BNP Paribas Infrastruktur Plus;Desember 2021;-0,004372;0,004115;0,000017
Reksa Dana BNP Paribas Solaris;Maret 2020;-0,236105;-0,170744;0,029154
Reksa Dana BNP Paribas Solaris;April 2020;0,078801;0,035937;0,001291
Reksa Dana BNP Paribas Solaris;Mei 2020;0,006315;0,004727;0,000022
Reksa Dana BNP Paribas Solaris;Juni 2020;0,075576;0,028767;0,000828
Reksa Dana BNP Paribas Solaris;Juli 2020;0,059198;0,046627;0,002174
Reksa Dana BNP Paribas Solaris;Agustus 2020;0,033021;0,176314;0,031087
Reksa Dana BNP Paribas Solaris;September 2020;-0,105988;-0,201361;0,040546
Reksa Dana BNP Paribas Solaris;Oktober 2020;0,068806;0,049853;0,002485
Reksa Dana BNP Paribas Solaris;November 2020;0,147386;0,091254;0,008327
Reksa Dana BNP Paribas Solaris;Desember 2020;0,164554;0,062165;0,003865
Reksa Dana BNP Paribas Solaris;Januari 2021;-0,031877;-0,022684;0,000515
Reksa Dana BNP Paribas Solaris;Februari 2021;0,066444;0,061564;0,003790
Reksa Dana BNP Paribas Solaris;Maret 2021;-0,124886;-0,044222;0,001956
Reksa Dana BNP Paribas Solaris;April 2021;0,013779;-0,001475;0,000002
Reksa Dana BNP Paribas Solaris;Mei 2021;-0,029516;-0,011195;0,000125
Reksa Dana BNP Paribas Solaris;Juni 2021;-0,037893;0,003231;0,000010
Reksa Dana BNP Paribas Solaris;Juli 2021;0,031969;0,010963;0,000120
Reksa Dana BNP Paribas Solaris;Agustus 2021;-0,053385;0,010059;0,000101
Reksa Dana BNP Paribas Solaris;September 2021;0,054285;0,019054;0,000363
Reksa Dana BNP Paribas Solaris;Oktober 2021;0,009310;0,045257;0,002048
Reksa Dana BNP Paribas Solaris;November 2021;-0,026174;-0,011874;0,000141
Reksa Dana BNP Paribas Solaris;Desember 2021;-0,014562;0,004115;0,000017
Reksa Dana BNP Paribas Maxi Saham;Maret 2020;-0,223291;-0,170744;0,029154
Reksa Dana BNP Paribas Maxi Saham;April 2020;0,039783;0,035937;0,001291
Reksa Dana BNP Paribas Maxi Saham;Mei 2020;0,013505;0,004727;0,000022
Reksa Dana BNP Paribas Maxi Saham;Juni 2020;0,049153;0,028767;0,000828
Reksa Dana BNP Paribas Maxi Saham;Juli 2020;0,048270;0,046627;0,002174
