Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Bahana Trailblazer Fund;Desember 2020;0.03;0.06;1.00
Reksa Dana Bahana Trailblazer Fund;Januari 2021;-0.04;-0.02;0.00
Reksa Dana Bahana Trailblazer Fund;Februari 2021;0.01;0.06;1.00
Reksa Dana Bahana Trailblazer Fund;Maret 2021;-0.03;-0.04;0.00
Reksa Dana Bahana Trailblazer Fund;April 2021;-0.02;0.00;0.00
Reksa Dana Bahana Trailblazer Fund;Mei 2021;0.00;-0.01;0.00
Reksa Dana Bahana Trailblazer Fund;Juni 2021;-0.05;0.00;1.00
Reksa Dana Bahana Trailblazer Fund;Juli 2021;0.00;0.01;1.00
Reksa Dana Bahana Trailblazer Fund;Agustus 2021;0.01;0.01;1.00
Reksa Dana Bahana Trailblazer Fund;September 2021;0.01;0.02;1.00
Reksa Dana Bahana Trailblazer Fund;Oktober 2021;0.03;0.05;1.00
Reksa Dana Bahana Trailblazer Fund;November 2021;0.00;-0.01;0.00
Reksa Dana Bahana Trailblazer Fund;Desember 2021;-0.01;0.00;1.00
Reksa Dana Batavia Dana Saham;Maret 2020;-0.20;-0.17;0.00
Reksa Dana Batavia Dana Saham;April 2020;0.04;0.04;1.00
Reksa Dana Batavia Dana Saham;Mei 2020;0.01;0.00;1.00
Reksa Dana Batavia Dana Saham;Juni 2020;0.04;0.03;1.00
Reksa Dana Batavia Dana Saham;Juli 2020;0.05;0.05;1.00
Reksa Dana Batavia Dana Saham;Agustus 2020;0.01;0.18;1.00
Reksa Dana Batavia Dana Saham;September 2020;-0.09;-0.20;0.00
Reksa Dana Batavia Dana Saham;Oktober 2020;0.05;0.05;1.00
Reksa Dana Batavia Dana Saham;November 2020;0.10;0.09;1.00
Reksa Dana Batavia Dana Saham;Desember 2020;0.05;0.06;1.00
Reksa Dana Batavia Dana Saham;Januari 2021;-0.02;-0.02;0.00
Reksa Dana Batavia Dana Saham;Februari 2021;0.03;0.06;1.00
Reksa Dana Batavia Dana Saham;Maret 2021;-0.04;-0.04;0.00
Reksa Dana Batavia Dana Saham;April 2021;0.01;0.00;0.00
Reksa Dana Batavia Dana Saham;Mei 2021;-0.01;-0.01;0.00
Reksa Dana Batavia Dana Saham;Juni 2021;-0.04;0.00;1.00
Reksa Dana Batavia Dana Saham;Juli 2021;-0.01;0.01;1.00
Reksa Dana Batavia Dana Saham;Agustus 2021;0.02;0.01;1.00
Reksa Dana Batavia Dana Saham;September 2021;0.01;0.02;1.00
Reksa Dana Batavia Dana Saham;Oktober 2021;0.04;0.05;1.00
Reksa Dana Batavia Dana Saham;November 2021;-0.02;-0.01;0.00
Reksa Dana Batavia Dana Saham;Desember 2021;0.01;0.00;1.00
Reksa Dana Batavia Dana Saham Optimal;Maret 2020;-0.22;-0.17;0.00
Reksa Dana Batavia Dana Saham Optimal;April 2020;0.05;0.04;1.00
Reksa Dana Batavia Dana Saham Optimal;Mei 2020;0.01;0.00;1.00
Reksa Dana Batavia Dana Saham Optimal;Juni 2020;0.05;0.03;1.00
Reksa Dana Batavia Dana Saham Optimal;Juli 2020;0.05;0.05;1.00
Reksa Dana Batavia Dana Saham Optimal;Agustus 2020;0.01;0.18;1.00
Reksa Dana Batavia Dana Saham Optimal;September 2020;-0.09;-0.20;0.00
Reksa Dana Batavia Dana Saham Optimal;Oktober 2020;0.05;0.05;1.00
Reksa Dana Batavia Dana Saham Optimal;November 2020;0.11;0.09;1.00
Reksa Dana Batavia Dana Saham Optimal;Desember 2020;0.07;0.06;1.00
Reksa Dana Batavia Dana Saham Optimal;Januari 2021;-0.02;-0.02;0.00
Reksa Dana Batavia Dana Saham Optimal;Februari 2021;0.04;0.06;1.00
Reksa Dana Batavia Dana Saham Optimal;Maret 2021;-0.02;-0.04;0.00
Reksa Dana Batavia Dana Saham Optimal;April 2021;0.01;0.00;0.00
Reksa Dana Batavia Dana Saham Optimal;Mei 2021;-0.02;-0.01;0.00
Reksa Dana Batavia Dana Saham Optimal;Juni 2021;-0.03;0.00;1.00
Reksa Dana Batavia Dana Saham Optimal;Juli 2021;0.00;0.01;1.00
Reksa Dana Batavia Dana Saham Optimal;Agustus 2021;0.02;0.01;1.00
Reksa Dana Batavia Dana Saham Optimal;September 2021;0.01;0.02;1.00
Reksa Dana Batavia Dana Saham Optimal;Oktober 2021;0.04;0.05;1.00
Reksa Dana Batavia Dana Saham Optimal;November 2021;-0.03;-0.01;0.00
Reksa Dana Batavia Dana Saham Optimal;Desember 2021;0.01;0.00;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Maret 2020;-0.23;-0.17;0.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;April 2020;0.03;0.04;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Mei 2020;0.04;0.00;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Juni 2020;0.06;0.03;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Juli 2020;0.05;0.05;1.00
